ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
3,36.011707,0.075863786,34.87629,36.228424,37.499016,2.6227264,250.84074,436.60086,32.654972,43.85481,0.49804318,0.43201128,0.31045452,0.47143495,0.6603885,0.349934,3.867546,2.077276,2.3090978,1.305873,0.2415471,0.65436566,26.164824,0.3321435,14.094112,0.85748816,7.252706,1.6284578,-4.975108,-2.774214,0.02358279,1.5233954,1.1400803,0.49999383,8.610926,0.31319398,13.23686,0.96214116,29.428774,0.31087562,690.7514,0.3119558,1434.574,0.15244909,-94.67821,-0.9403916,1740.2429,0.13421401,1171.2452,0.2692326,-96.20164,-0.83841866,2858.8086,0.079403006,915.7546,0.38927084,-99.70655,-0.7793571,-20.207981,-0.3570342,31.156996,0.23486556,0.040680658,0.4572355,-0.014541606,-0.6529563,0.3015532,0.47374862,29.188242,0.24909845,14.056384,0.88798106,9.10624,1.4065701,-9.117933,-1.4713738,-13.837625,24.076782,0.020620696,-0.005693794,0.14832802,2.9007254,2.030584,0.29160494,0.23914695,0.19958904,0.30633244,-24.938505
4,30.3631,0.080828145,28.123154,30.205402,32.525017,4.401863,132.40807,164.98799,19.755272,10.159977,0.51698756,0.39402148,0.31843123,0.4990971,0.68422115,0.36578992,4.184148,2.260553,2.656071,1.4434764,0.23801494,0.58079004,23.233377,0.4669566,13.758913,0.7090521,6.839649,1.5863363,-0.11356597,-86.97919,0.020357622,0.91756177,1.2793698,0.49110767,5.686369,0.44693875,0.9885206,7.1912208,26.157038,0.27010462,648.74,0.3021935,1413.2992,0.13153967,-129.03586,-0.68533504,1707.4418,0.14131999,1169.071,0.23244949,-133.60326,-0.6051131,2774.62,0.075197324,920.9889,0.34439853,-135.26027,-0.5818088,-18.231127,-0.3167,28.374868,0.2526076,0.03804162,0.44025245,-0.023427106,-0.49650338,0.33146474,0.3534801,29.79569,0.25783047,15.469877,0.5867018,5.974467,2.0885289,-3.3335335,-2.9109282,-11.294813,19.641111,0.024876114,-0.007809285,0.17938058,3.350838,2.3284929,0.15709677,0.115522,0.2547826,0.38109535,-26.496857
5,34.151634,0.06847718,32.121105,33.895203,36.245316,4.1242104,63.61102,119.62307,31.663746,75.33361,0.40732902,0.33391508,0.26254964,0.40369987,0.5317514,0.26920176,2.203435,1.1974388,1.6106143,1.0594611,0.20168898,0.6263157,27.511738,0.29289153,15.586502,0.5121888,0.95797116,12.277365,7.4931,1.1699117,0.024335427,1.6923531,1.246411,0.49640125,7.76292,0.32849544,5.81175,1.6028517,27.891638,0.2955691,722.4623,0.29378194,1412.8326,0.15920116,-114.66775,-0.7713282,1759.6733,0.1361258,1163.757,0.2627203,-116.99213,-0.7034727,2876.334,0.07895891,982.4514,0.3109398,-121.35275,-0.6410925,-20.251785,-0.3061352,33.866776,0.19070503,0.035628356,0.5298357,-0.018449139,-0.6417415,0.25303882,0.4905588,31.169447,0.20239696,17.298422,0.45362863,-0.56545687,-25.373587,8.513526,1.1513995,-15.08908,25.781992,0.02848423,-0.010104184,0.15248036,2.7006752,2.178813,0.21609195,0.18857212,0.25368422,0.37292174,-26.902508
7,37.520042,0.09052784,36.697197,37.386562,39.66144,2.9642448,171.22809,264.98596,61.488503,95.72316,0.38512242,0.3237767,0.26542154,0.37387767,0.480895,0.21547347,2.3552973,1.8150711,1.4323419,0.8425084,0.14405082,0.42843184,23.085573,0.36970627,13.22913,0.5931235,2.3264837,3.776401,-0.5635938,-15.002049,0.030208295,0.9428896,1.2266741,0.45448986,7.9740715,0.31487378,10.614841,0.92419666,27.768631,0.28176543,772.2907,0.24945058,1420.8945,0.17107263,-136.73712,-0.6127366,1794.7697,0.11402789,1144.8734,0.28261575,-134.76994,-0.59417397,2893.7056,0.08026302,929.07635,0.33380884,-137.58481,-0.5564835,-18.044603,-0.32031274,30.076702,0.23486549,0.036557734,0.4182698,-0.016607972,-0.5612754,0.17472064,0.34083366,26.670404,0.23346548,13.548456,0.5981223,1.8938541,5.4686522,-3.9895325,-2.392906,-12.800075,22.687332,0.022249412,-0.010303822,0.12545715,2.3755941,2.428643,0.14824742,0.11774521,0.25597826,0.45823634,-30.8607
8,36.70493,0.08496591,34.237488,36.00762,39.43615,5.198662,162.07309,245.77458,31.279873,24.78036,0.6974468,0.564873,0.2629174,0.6638791,1.0293818,0.76646435,5.7192116,3.6307368,4.1672883,2.352913,0.37955087,0.8287046,24.367105,0.4551074,7.8021216,1.5099114,3.2308936,3.7895901,-2.3958747,-4.743989,0.020782873,1.2733586,1.1719396,0.48504242,7.517144,0.41715482,10.440916,0.94171727,24.654638,0.4361605,714.56537,0.30427486,1404.0371,0.16497895,-123.61291,-0.7229136,1746.3815,0.13928811,1123.4153,0.30436763,-120.94554,-0.70093656,2817.2178,0.08136694,936.4237,0.3856556,-123.4535,-0.6635025,-14.788575,-0.53948647,26.273792,0.33094516,0.04698981,0.4062722,-0.017281307,-0.766111,0.5205288,0.5521459,27.199327,0.36533493,6.725559,1.9766613,3.2349293,4.586658,-6.6690927,-1.7201062,-11.381079,21.138243,0.025875326,-0.010206572,0.26384622,2.3255816,2.203305,0.19568181,0.15286502,0.25463414,0.44389132,-21.943213
9,35.667557,0.07159366,35.106396,35.92744,37.002945,1.8965492,173.36044,340.4144,41.6416,111.92472,0.47802028,0.37388656,0.28773338,0.47717312,0.6338433,0.34610993,3.2478008,1.5016919,2.2000458,1.0130681,0.21318468,0.5434614,26.784214,0.35458568,16.065279,0.5660346,6.585618,1.7086016,-7.9191356,-1.4729128,0.021999057,1.3377525,1.0943524,0.501388,8.6805,0.3339132,10.619559,0.9059613,30.114838,0.30038795,743.1186,0.23814446,1392.3065,0.15803955,-85.31671,-1.0214448,1844.032,0.12411032,1148.1593,0.31948498,-93.39431,-0.8340521,2896.1104,0.07402705,901.4587,0.36760625,-94.98227,-0.806536,-21.414602,-0.2844189,31.367414,0.23218879,0.04499195,0.40046042,-0.02380157,-0.44934973,0.26189366,0.38676786,30.444958,0.2519951,16.795033,0.568953,7.1193886,1.7958964,-12.296595,-0.8959852,-13.40842,22.352497,0.020750975,-0.010278609,0.12853305,3.5258818,2.1281924,0.29011765,0.20368658,0.17320512,0.28836182,-25.279404
10,34.349274,0.0702169,32.727993,34.508724,36.278027,3.5500336,48.060787,52.583603,14.733557,13.499224,0.57964313,0.46412262,0.32791764,0.57202035,0.79465103,0.4667334,4.4549575,2.5501585,3.2448175,1.8400764,0.26027548,0.6482568,25.37393,0.455429,10.81658,1.0749613,4.3761897,2.951837,0.042186763,301.6276,0.019296424,1.259489,1.1026856,0.5161991,7.424188,0.396782,8.270718,1.1786602,27.512114,0.310314,648.3032,0.33687377,1415.2974,0.16408156,-80.2197,-1.1037233,1716.5142,0.13804333,1077.0392,0.26390663,-83.32012,-0.96870977,2777.6978,0.08855527,1050.6416,0.34085643,-87.900734,-0.8799364,-16.642569,-0.43056163,26.770744,0.30508345,0.05256779,0.397834,-0.019603524,-0.6886447,0.3080113,0.48375204,28.172905,0.36654612,10.878512,1.1605121,5.4364753,2.5671155,-0.4220321,-31.655851,-11.453775,20.363354,0.03216198,-0.010102596,0.16739051,2.9257317,1.8277416,0.35424656,0.2605154,0.18455882,0.28635868,-24.767315
11,37.447746,0.06595231,35.500698,37.035767,39.095066,3.594368,44.94079,64.853065,52.797783,83.88876,0.70908576,0.39424446,0.46380597,0.7054896,0.93420136,0.4703954,4.932302,2.7046554,3.634334,1.9964274,0.3443763,0.64343774,21.063126,0.52305216,4.7470717,2.2045593,1.5329179,8.259018,-3.484203,-3.8125145,0.024509355,1.0124762,1.2604985,0.45426038,6.91008,0.41616565,11.108546,0.9504366,24.890493,0.38513568,714.9422,0.30079556,1388.2107,0.15920149,-105.5574,-0.85803825,1716.0242,0.12487399,1093.0416,0.27769873,-99.87752,-0.85072404,2791.772,0.08399613,925.5225,0.3700179,-103.96785,-0.7826174,-13.557708,-0.4830942,24.638807,0.3059433,0.06086591,0.30669478,-0.017133163,-0.73183376,0.41503108,0.49378163,24.963892,0.34460816,4.6700473,2.4198194,-0.36856058,-37.000267,-6.3246965,-2.1157508,-7.9628153,16.967766,0.04335068,-0.007450176,0.2541724,3.050763,2.5538309,0.21098039,0.16552655,0.16814432,0.20816983,-23.911802
12,33.877113,0.09246014,32.055546,33.475452,36.395416,4.3398705,79.781456,81.92637,25.796667,27.17418,0.4701203,0.4128399,0.28739172,0.4544239,0.6266146,0.33922285,3.693403,1.9867717,2.466664,1.4698684,0.20132534,0.5728434,22.21024,0.5175873,13.994014,0.71667945,9.154359,1.2454522,1.1092217,9.928175,0.025987385,1.292673,1.2870932,0.44889373,6.8782983,0.38219127,6.8529115,1.2967775,25.406307,0.31709024,701.8442,0.30666453,1439.7693,0.14573644,-130.92343,-0.6583519,1740.4961,0.13259539,1177.5536,0.2891384,-131.45625,-0.6166742,2797.5637,0.0856251,947.1954,0.31611332,-133.3826,-0.58998007,-17.35906,-0.33567867,28.302769,0.24334517,0.03264856,0.58331,-0.016086325,-0.62536114,0.26261786,0.44506735,27.609003,0.30001664,13.450458,0.7497709,8.445553,1.5291364,-2.4738798,-4.572822,-11.956613,20.841875,0.019496536,-0.006270008,0.160611,2.675669,2.3284929,0.16301075,0.11452366,0.24880433,0.39843947,-27.889671
13,31.298405,0.086514965,30.167633,31.670885,33.195206,3.0275726,182.91351,240.72348,59.028805,93.29242,0.45879847,0.2010223,0.37695938,0.45244566,0.53642595,0.15946656,2.382747,1.1413381,1.5156883,0.82431006,0.2133438,0.29821897,29.338732,0.25303864,9.450976,0.8513455,1.8287235,4.4494452,0.6792469,11.5394,0.031055445,1.0984911,1.3584459,0.45647895,4.945144,0.44557607,1.2224686,5.899017,25.350037,0.29737946,743.65704,0.23344062,1421.151,0.2022261,-158.28348,-0.46864107,1760.6406,0.1268569,1197.3159,0.2524467,-160.1953,-0.43364114,2826.634,0.0804905,948.96027,0.27919817,-161.90047,-0.41090092,-16.756685,-0.2996729,29.692085,0.17426354,0.02818235,0.54932,-0.0203098,-0.5226668,0.24079217,0.23974277,33.153137,0.16399167,9.967147,0.7873627,2.3147993,4.264678,-2.0656915,-4.4192905,-13.8654375,25.302395,0.025874201,-0.012743847,0.20511608,4.276069,2.3552995,0.08925532,0.07297973,0.31189474,0.36259386,-29.63625
