ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,self-esteem,SE
3,35.730648,0.077982,35.119858,36.16342,37.261032,2.1411743,175.17224,315.54053,36.531662,41.10667,0.4169951,0.395275,0.27530134,0.39304507,0.54151845,0.2662171,2.8196971,1.693654,1.7113552,0.9198205,0.19800681,0.6414286,26.431423,0.3049186,16.64636,0.62458277,5.344513,2.0693848,-4.526254,-3.1505299,0.022773825,1.025068,1.2138754,0.48215365,8.117049,0.34587413,12.362854,0.99051195,30.510347,0.26968372,720.47504,0.27392834,1464.2784,0.16780074,-104.16256,-0.85043395,1775.5327,0.13181938,1190.3917,0.26597756,-106.72707,-0.75602794,2897.2415,0.07231757,938.1867,0.37519678,-109.908165,-0.70796967,-21.084606,-0.3109483,32.262054,0.2178859,0.03850762,0.51308364,-0.01615985,-0.5960587,0.25355422,0.47425485,29.830875,0.21779816,16.84604,0.640095,7.2541347,1.6669366,-9.6667795,-1.4873468,-14.805789,25.20325,0.01869685,-0.006899902,0.12856348,2.6256566,2.3541198,0.22670214,0.23204176,0.19160919,0.34554595,-26.808516,28,28
4,30.020237,0.095670186,27.81649,29.455568,32.3542,4.5377083,107.927986,196.33621,29.675428,30.205496,0.46772996,0.43440366,0.25779474,0.45786914,0.6348313,0.37703657,3.7154605,2.0007699,2.2050788,1.4765068,0.20869048,0.68312436,21.80144,0.47464293,12.821542,0.7575307,9.339334,1.0942041,1.6886126,6.390992,0.021579659,0.7564813,1.3278002,0.5259212,5.4768076,0.45183516,3.1673965,2.541416,26.626911,0.29260418,633.817,0.30958295,1414.545,0.15099026,-140.10977,-0.60626227,1731.012,0.14601268,1187.1484,0.28941143,-144.30225,-0.5361417,2754.1077,0.08552211,942.2109,0.3040158,-144.98628,-0.5266427,-18.665562,-0.29475817,27.599487,0.23014618,0.038487434,0.4466204,-0.023890281,-0.48745877,0.3077679,0.4420446,28.718113,0.26046592,16.39362,0.5471093,10.482864,1.2333326,-5.2568207,-1.9602267,-11.01866,18.896843,0.021505287,-0.004328952,0.16071066,2.7256815,2.2283425,0.13741574,0.10691305,0.29431817,0.3983654,-27.660963,28,28
5,34.292587,0.06252434,32.436935,34.465546,36.051792,3.6148567,67.91923,118.03319,14.596405,13.468152,0.40907016,0.379282,0.24358957,0.4040124,0.5450331,0.30144352,2.6256874,1.6821147,1.7146213,1.0332795,0.19196914,0.6292882,26.99335,0.3245909,16.386581,0.5098099,3.2851799,4.2494726,7.224326,1.421783,0.01880098,0.7719297,1.1658242,0.49876258,8.378089,0.32777536,6.162203,1.6192335,27.990026,0.32077044,717.5789,0.32362804,1386.0448,0.17272443,-100.40587,-0.8810926,1768.7328,0.14977293,1162.7375,0.26747775,-103.28793,-0.7848317,2870.4453,0.085884504,998.4678,0.31399983,-107.61645,-0.7177509,-20.766497,-0.32935262,34.349495,0.21105771,0.03533187,0.521847,-0.019008856,-0.7370833,0.23792443,0.48266745,30.778645,0.24342176,18.811989,0.43338987,0.95540434,16.589884,6.9083614,1.6928936,-14.219506,24.170794,0.026419263,-0.00601321,0.12969641,2.7756941,1.8027041,0.31055555,0.22396606,0.24692307,0.4134877,-26.189713,27,27
7,37.460815,0.07820072,36.56411,37.342117,39.296806,2.7326965,419.96875,512.6787,31.83081,31.990889,0.41287106,0.3361712,0.26931977,0.40024802,0.5266842,0.25736445,2.3208358,1.0286901,1.5608225,0.9001895,0.16142315,0.44056767,23.75372,0.42999923,14.393458,0.5897602,1.781146,4.768173,-2.4898903,-3.9264073,0.025826082,1.091763,1.2507886,0.46158192,7.5832496,0.33253154,9.308797,1.1430013,28.9379,0.30770594,721.5161,0.27007997,1420.1868,0.16064928,-135.14651,-0.6354222,1765.9297,0.12588193,1162.2698,0.26972255,-131.97086,-0.61308116,2862.0085,0.08568119,979.37286,0.33824217,-135.16827,-0.5697756,-18.08608,-0.33414268,29.931263,0.2506593,0.037322998,0.44672844,-0.020285705,-0.48172852,0.18801722,0.31804502,28.025694,0.24952343,13.428161,0.6556647,-0.55059814,-16.583754,-6.046975,-1.7368582,-13.531806,22.811012,0.02275117,-0.012280886,0.14395,2.875719,2.6296017,0.14133333,0.12109081,0.23854165,0.24851213,-30.21292,26,26
8,37.26726,0.09406144,34.633644,36.97901,40.45475,5.821106,144.59708,236.07277,44.35912,48.88648,0.9170598,0.54691446,0.4090278,0.88290304,1.3285512,0.91952336,8.088545,4.3261743,4.8155365,2.5919983,0.5190632,0.7758019,23.346863,0.5194313,5.303616,2.584217,-0.19007704,-79.75225,-7.4225206,-1.8476291,0.023088135,2.0556004,1.1703241,0.51657945,7.0723357,0.53607196,9.62632,1.1858517,24.231142,0.4130288,718.831,0.2875897,1389.6428,0.16130346,-117.86309,-0.7750716,1747.0632,0.13774092,1125.6761,0.34697273,-113.16425,-0.76336163,2797.6013,0.08451155,946.17285,0.38774067,-115.58983,-0.72461987,-12.456042,-0.62912315,24.233322,0.3509353,0.053958435,0.3634078,-0.021713044,-0.64361644,0.641553,0.5410715,25.909664,0.3968608,2.966728,4.845971,-3.248153,-5.168887,-11.109374,-1.252812,-10.099468,19.686035,0.036486123,-0.014524153,0.40441588,2.475619,2.6289434,0.17514285,0.16860838,0.2076344,0.27773815,-19.868052,28,28
9,35.477577,0.064224005,34.7698,35.702698,36.67268,1.9028816,156.29846,300.8329,19.250938,22.655064,0.48408553,0.4239384,0.2613951,0.4845052,0.6420437,0.3806486,3.5235014,1.8928791,2.2589285,0.9778592,0.2104747,0.60413694,26.343798,0.42139775,14.753233,0.7259118,3.8461814,3.13319,-8.809728,-1.3962944,0.021950359,1.7373793,1.1080662,0.50428337,8.181166,0.34275115,8.416656,1.2296886,29.63822,0.30469245,743.78864,0.22227252,1376.4728,0.16126548,-89.95511,-1.0039127,1828.6505,0.12842321,1097.227,0.31120765,-96.48376,-0.84498686,2907.7039,0.07251768,896.589,0.35748312,-99.35868,-0.79494244,-19.30384,-0.33809775,30.577784,0.22639216,0.045766708,0.40138835,-0.026151372,-0.4767566,0.2706948,0.41124687,30.98511,0.28586623,14.321071,0.7868112,2.5553942,5.3322,-13.730892,-0.8705058,-12.936319,21.089687,0.02035752,-0.010218209,0.11885049,3.0757692,1.9278919,0.3046753,0.23325798,0.20121622,0.35170227,-26.051205,32,31
10,33.70848,0.07070332,32.010612,33.759205,35.54231,3.5316963,61.326878,101.10033,61.74386,227.44374,0.51871985,0.45715457,0.3164726,0.48962447,0.70968455,0.39321196,3.6394775,2.0381088,2.1069672,1.1691456,0.21817765,0.6235354,26.117773,0.45727825,12.563685,0.9546956,2.1155558,6.179999,1.4172807,8.364668,0.01867475,1.4742643,1.0988731,0.5415697,7.1725845,0.43602923,6.41153,1.6399344,28.29807,0.29998642,649.0507,0.3112198,1425.4491,0.15652771,-82.80301,-1.0790962,1696.9034,0.13059197,1156.5717,0.287874,-87.66732,-0.9269797,2769.7227,0.08572891,1024.6095,0.28790814,-92.701035,-0.8351177,-17.223707,-0.40307435,28.330584,0.27048227,0.05053065,0.38218206,-0.018878842,-0.6973209,0.2536434,0.4827978,30.055983,0.32622632,12.183893,1.0564506,1.5813731,8.911847,0.686079,18.108269,-11.8921795,20.583876,0.03299152,-0.0094098,0.15262026,2.4006002,2.2289007,0.27797753,0.24061336,0.16649999,0.22498944,-26.260857,32,31
11,37.2479,0.07014459,34.912678,37.197834,39.26808,4.355404,47.047314,71.84214,18.045437,13.036374,0.6715212,0.46780488,0.3583963,0.6657967,0.9205911,0.5621948,5.1587453,3.3775709,3.2938914,1.8851299,0.30702808,0.69634354,22.596628,0.51601297,4.5188413,2.6097574,-1.1205872,-11.408286,0.1384908,86.5749,0.02090735,0.9359803,1.1862993,0.44789052,7.09387,0.43717942,8.8815365,1.1069885,24.48922,0.419081,732.0863,0.27562115,1386.4437,0.17571498,-106.39397,-0.85371804,1748.2356,0.12419405,1069.1382,0.24985757,-101.857124,-0.84033626,2821.2046,0.08915621,996.019,0.34339204,-106.2847,-0.76762795,-13.163091,-0.5406281,25.295856,0.32876724,0.055956084,0.3106226,-0.018606046,-0.70630133,0.3871421,0.49128556,26.49706,0.39097872,3.4226096,3.85948,-2.5889814,-5.645449,-2.311541,-5.73836,-8.710511,19.03528,0.03899361,-0.005557418,0.20792726,2.6006503,2.2784176,0.23318681,0.1941953,0.18943821,0.25792328,-24.1823,40,40
12,33.965527,0.105368346,32.573128,34.074085,35.823353,3.250225,252.4406,354.70715,49.472572,44.408627,0.44799247,0.42375436,0.2509128,0.43748677,0.6080303,0.35711753,3.403242,1.7311496,2.0685093,1.0700369,0.19296986,0.70456684,22.564404,0.46596247,12.9191,0.7486668,8.226229,1.2388899,2.1028225,4.990412,0.024905888,1.2415723,1.2594875,0.4829971,6.8957524,0.42154527,7.482098,1.2425514,25.942612,0.31922442,691.03015,0.30844444,1437.7814,0.15166795,-130.58258,-0.6602539,1745.0905,0.1312586,1146.1803,0.29325712,-131.21773,-0.61999196,2798.3916,0.08636402,963.64526,0.3067044,-133.196,-0.59271944,-17.931625,-0.34321153,27.801449,0.2462264,0.03368152,0.5759878,-0.016340831,-0.70991015,0.25501502,0.55570066,27.462276,0.28087193,13.345486,0.76177037,9.180321,1.2092146,-2.0798097,-5.4868464,-11.733336,21.028177,0.018576609,-0.005319731,0.15123959,3.050763,2.454295,0.15367347,0.12531093,0.2408421,0.35877767,-27.413015,32,31
13,32.231964,0.12335337,31.789505,33.297585,34.560482,2.770977,199.63837,331.98166,73.16717,86.69279,0.4918852,0.23689704,0.3916747,0.4799849,0.58606166,0.19438696,2.4273655,1.1904732,1.7873023,0.9483799,0.23384167,0.32462648,29.25986,0.2813078,11.391934,0.64844775,3.2491415,2.82561,-1.3198268,-6.581635,0.032046296,1.5529552,1.3275687,0.47830722,5.939492,0.3899266,4.3764105,2.2144294,27.155607,0.30005607,708.6124,0.27760988,1433.7675,0.15724808,-127.890625,-0.6760234,1736.1217,0.13819988,1184.8539,0.23462667,-130.69875,-0.61564994,2824.242,0.08333961,994.2132,0.35306415,-133.51761,-0.57777417,-17.816864,-0.27658543,30.374207,0.1675006,0.030781591,0.56817096,-0.01858873,-0.5478208,0.25635183,0.2602241,32.21035,0.1809776,11.580514,0.67189384,3.8864262,2.7160015,-3.1492267,-3.0111268,-14.700137,25.768309,0.026000671,-0.014398421,0.21944316,3.9009755,3.2048073,0.11578125,0.082874164,0.18716666,0.19074059,-27.84255,36,36
