ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,self-esteem
3,36.2403,0.065329224,35.08575,36.215443,37.66042,2.574669,114.524254,219.1636,21.742779,22.729145,0.556168,0.40065348,0.37023902,0.5141539,0.735479,0.36523998,4.673967,2.6815672,3.0180492,1.6382456,0.27885085,0.61252517,27.2496,0.29973713,11.168318,0.96805,6.320121,1.8651158,-10.062188,-1.5356858,0.02288758,0.9644111,1.2481078,0.4723655,7.896483,0.2986177,11.584573,1.0147786,29.094845,0.2649448,680.06946,0.2943019,1443.3617,0.16619682,-84.104744,-1.0333,1726.3973,0.13327761,1153.243,0.27447447,-86.1073,-0.9039539,2831.3752,0.07630486,914.6788,0.40446982,-89.82681,-0.8364254,-18.760744,-0.28589675,29.31355,0.19814704,0.04686168,0.3912679,-0.018609688,-0.5118969,0.3382451,0.4770329,29.810936,0.22862622,10.502874,1.0232584,8.296345,1.5026528,-15.088957,-0.96168643,-13.705744,23.592106,0.02574582,-0.009546189,0.16404694,3.3258317,2.8042064,0.22589284,0.18641138,0.1323913,0.18804699,-24.699427,28
4,29.753056,0.07587234,28.25809,29.64744,31.460129,3.2020397,112.16055,271.85382,30.159088,64.77885,0.49470973,0.36398643,0.32664996,0.48590788,0.6446982,0.31804824,3.7128797,2.1788976,2.3857014,1.3412218,0.21238708,0.54528725,22.059872,0.4810739,13.523373,0.774555,9.4485,1.2041006,1.8517773,5.300961,0.023904983,1.2659218,1.2540913,0.5185624,5.6355762,0.4195713,3.551526,2.2793634,25.740492,0.30571073,649.6587,0.2949634,1425.1759,0.14360234,-118.23368,-0.75552595,1719.7124,0.13363093,1177.2665,0.26754847,-123.46065,-0.6633963,2763.5437,0.071688466,927.26483,0.36634126,-124.774216,-0.64388996,-18.1848,-0.29502022,27.518442,0.2233599,0.03336415,0.54147744,-0.020986712,-0.58332473,0.27592227,0.37242076,28.323431,0.2629575,16.32463,0.53682953,9.508817,1.3672297,-1.0267137,-10.294112,-10.365231,18.168428,0.021469625,-0.003736795,0.1614578,3.4008503,2.603906,0.16240385,0.11661487,0.2111111,0.25755608,-27.521046,28
5,34.455727,0.07590607,32.47062,34.76519,36.541653,4.0710335,136.21872,299.10706,27.451473,36.04372,0.46573573,0.31191456,0.33038855,0.46161303,0.58589137,0.25550282,2.6573398,1.302783,1.8699288,0.92690295,0.23983216,0.55785453,28.181143,0.31104642,16.466297,0.51950437,-1.4755893,-9.610344,7.6315207,1.4315227,0.020982387,1.0817362,1.2062848,0.52395815,8.0243635,0.3196021,4.26211,2.4585645,29.086315,0.2800608,699.00665,0.31997848,1382.269,0.15970276,-94.807396,-0.9259745,1750.8158,0.156667,1135.1442,0.26899037,-98.67925,-0.8121618,2882.4294,0.09065052,1003.624,0.32856324,-104.49164,-0.7196388,-20.114777,-0.33643225,34.880836,0.18044728,0.0382896,0.46300557,-0.019936204,-0.6681081,0.2758607,0.46322224,31.595005,0.20976587,17.881977,0.44270715,-3.329067,-4.580712,7.2747808,1.6176332,-14.2260475,25.809053,0.028556475,-0.009665358,0.18705155,3.650913,2.5287933,0.2270297,0.17876111,0.16173914,0.20870513,-25.537134,27
7,36.97606,0.09536125,36.617245,37.359917,38.808903,2.191658,346.1795,565.73376,70.48817,81.71641,0.35631508,0.3509963,0.22034395,0.35025492,0.4632681,0.24292415,2.4242191,1.302756,1.6305981,0.9707624,0.13696267,0.4841934,22.957895,0.39660892,13.99,0.5564835,4.8457327,1.7377365,1.7013298,6.0062747,0.028645404,1.1911144,1.2742041,0.43999395,7.5572767,0.33310974,11.59248,0.81464934,28.593405,0.31393826,718.8585,0.28598768,1417.9714,0.1620222,-154.32953,-0.49687353,1764.8661,0.12757945,1131.0255,0.24880226,-149.77818,-0.50247073,2854.775,0.087850496,994.00256,0.31079578,-151.90926,-0.4741857,-17.543886,-0.31669307,29.345161,0.22404698,0.03509515,0.5083117,-0.017219216,-0.638925,0.17329633,0.34757537,27.729761,0.23374686,13.173572,0.5649999,2.410887,4.212014,-4.848227,-2.4383621,-13.571034,22.391972,0.013423987,-0.008011655,0.121898785,2.8007004,2.378568,0.11389474,0.09963401,0.30829546,0.43732196,-31.717924,26
8,36.654087,0.07353546,34.591408,36.35986,39.07413,4.482723,119.8373,267.15512,28.889324,27.673605,0.7535845,0.59593,0.2558032,0.7146867,1.1493366,0.89353335,7.424505,4.056559,4.584458,2.6888885,0.43139115,0.84061074,25.253206,0.4042404,7.9707613,1.4360651,0.5003887,29.558447,-5.725193,-2.2962625,0.022056865,1.422792,1.1418351,0.48537365,7.199203,0.46228117,8.421807,1.3406969,26.01591,0.3742463,701.91223,0.28446707,1420.6736,0.16077918,-117.32929,-0.7820212,1730.3623,0.14296171,1139.9261,0.32606217,-114.582756,-0.7546532,2808.593,0.07829029,899.8457,0.3541393,-117.552025,-0.7083388,-14.784091,-0.49488533,26.574278,0.31665733,0.05051209,0.3629146,-0.023422802,-0.602352,0.61395574,0.51821196,28.289818,0.36266032,6.849417,1.9537174,-2.4767287,-7.16581,-10.996339,-1.1214572,-11.681074,21.361242,0.02593225,-0.01264316,0.26144546,2.3005753,1.9028543,0.24473684,0.1802299,0.27444443,0.506222,-20.69419,28
9,35.469486,0.069623806,34.962006,35.820652,36.6768,1.7147942,180.41823,259.50668,26.984001,28.567564,0.5249757,0.36378843,0.33807373,0.5263765,0.68617445,0.34810072,3.6376457,1.7498958,2.6445282,1.2873847,0.23235942,0.5355025,27.059162,0.40049517,15.869626,0.6738874,3.2103987,3.600271,-8.945327,-1.3802207,0.021922221,1.62746,1.0476742,0.5392078,8.656868,0.329557,10.305737,0.88997364,30.208702,0.30561036,752.2555,0.21545556,1363.629,0.16394724,-80.904,-1.0667572,1836.0953,0.11270569,1142.0514,0.27609855,-89.45773,-0.8570066,2912.4722,0.069125935,858.59863,0.3812674,-91.62298,-0.8178754,-19.960678,-0.3288024,31.182407,0.2314904,0.046591654,0.41439313,-0.024165945,-0.5126572,0.28161708,0.40870205,30.56518,0.30917796,16.3282,0.6923682,2.7126162,4.8496895,-12.702839,-0.98349375,-12.987036,22.403536,0.021853495,-0.012102611,0.13866653,3.5508878,2.3535304,0.27021277,0.19357212,0.14952381,0.1979773,-24.827723,32
10,34.145477,0.06087257,32.4934,34.149002,35.87805,3.3846512,79.77956,147.2834,22.88868,33.349045,0.54849756,0.42223415,0.3550191,0.5263404,0.7330129,0.37799382,3.7587726,2.069257,2.69997,1.6313341,0.23621325,0.56929135,26.905165,0.42748928,10.859099,1.020746,0.8310206,15.111852,-0.09145313,-132.44695,0.017007941,0.91380006,1.1146321,0.48602837,7.451346,0.38881448,4.6591015,2.2956703,27.210075,0.31842774,629.36694,0.31015527,1417.0946,0.14080201,-89.661476,-1.0176303,1679.5889,0.13251103,1130.1373,0.26386327,-93.46582,-0.89499867,2763.1145,0.08594622,1036.1682,0.29282767,-98.7989,-0.8022983,-16.75826,-0.37975883,28.143835,0.24406387,0.05189196,0.33570558,-0.022030817,-0.5766211,0.27778745,0.4228659,31.191355,0.27076292,9.854373,1.1768093,0.56569093,23.263857,-1.8036084,-7.336447,-11.730284,21.206345,0.037985124,-0.011299006,0.17319198,2.7006752,2.1281924,0.27458823,0.19229604,0.18759492,0.23434919,-26.02181,32
11,36.24608,0.054074787,34.76213,35.840084,38.204872,3.4427414,89.502205,180.36333,13.955868,14.999352,0.67436284,0.39359036,0.44207984,0.6475293,0.88358605,0.4415062,5.3827724,3.4354386,2.933494,1.6237035,0.2734184,0.5703527,23.247036,0.47162133,3.1899385,3.445878,1.3485775,8.988378,1.0709472,11.8071375,0.019000854,1.2026695,1.1065403,0.47564533,7.7304773,0.37281576,6.663238,1.564902,21.867054,0.4784199,698.4501,0.3123048,1380.8053,0.17747326,-83.08144,-1.0629904,1716.2848,0.13325231,1074.0801,0.25948456,-80.39617,-1.0121386,2784.7227,0.08821369,974.78937,0.31562874,-85.438324,-0.9101296,-12.719936,-0.5351656,24.563055,0.32628506,0.050343495,0.40864176,-0.016380338,-0.7228493,0.31344506,0.45878246,26.85746,0.29774013,2.7716558,4.3267975,-0.31822762,-39.64366,-0.9023739,-15.001436,-7.0923934,16.608028,0.03287204,-0.006183203,0.1933557,3.050763,2.1281924,0.3050588,0.22618902,0.15325,0.17849213,-24.756334,40
12,33.835762,0.10906035,32.542683,34.22224,36.106033,3.5633507,275.5988,322.8587,47.213882,77.44395,0.48878732,0.41789365,0.26587453,0.48150873,0.6593051,0.39343056,3.8616664,1.8184403,2.6666164,1.4499505,0.21240808,0.6281252,24.439285,0.42669892,12.491409,0.7993066,4.5203424,2.2031796,-1.4035497,-7.8600926,0.024594994,1.3429344,1.2290604,0.49136782,6.7459583,0.42430994,3.969259,2.5831363,25.607805,0.3296668,697.9626,0.28031594,1420.7452,0.14982842,-122.823135,-0.72499347,1746.7103,0.13438992,1122.8105,0.25252712,-124.96976,-0.6676207,2807.2456,0.07992359,964.11975,0.35204536,-127.71396,-0.628802,-17.045988,-0.3571301,27.501205,0.24961783,0.03378108,0.55597883,-0.019730441,-0.56910723,0.2788642,0.4850449,27.84905,0.29373318,12.454148,0.86526877,4.5750747,2.5012228,-6.3877716,-1.8003043,-12.2031,22.173126,0.015268438,-0.008639997,0.16179354,3.3758442,2.304032,0.17815217,0.16177633,0.24613635,0.39210504,-26.910263,32
13,31.033682,0.0663974,29.950617,31.223711,32.469532,2.5189152,111.77206,125.01497,35.797485,66.43267,0.45372546,0.25691584,0.34912196,0.44081712,0.5464096,0.19728765,2.7675254,1.5178905,1.8230679,0.95765036,0.1939379,0.3856072,26.67952,0.29956988,11.622261,0.7138135,5.561569,1.9574796,-2.7919354,-3.3163762,0.02390609,1.2630024,1.300396,0.45076343,5.756967,0.37483877,-2.6718137,-3.1922762,21.875288,0.3145388,653.621,0.2831605,1436.2428,0.14067042,-129.50868,-0.66468436,1690.4867,0.14010875,1181.9467,0.24964043,-132.67517,-0.6064887,2748.5745,0.08006383,939.8174,0.30440834,-135.01842,-0.5751051,-17.09001,-0.2903027,28.082592,0.19251908,0.026689919,0.5226624,-0.019227987,-0.49634293,0.2211884,0.30734834,30.518642,0.17242488,11.648785,0.7240851,7.574269,1.6847029,-5.6989455,-1.7425383,-13.198683,22.821035,0.021429343,-0.012325296,0.17629163,4.151038,2.88004,0.12617391,0.11502426,0.20972726,0.20991977,-29.432972,36
